accuracy,mean_iou,loss,val_accuracy,val_mean_iou,val_loss
0.6814821362495422,0.36910685896873474,0.9269353151321411,0.40218082070350647,0.05027260258793831,1.9844995737075806
0.7906584143638611,0.4766760766506195,0.6105313301086426,0.40214571356773376,0.05026821419596672,1.920174241065979
0.8155367374420166,0.5077238082885742,0.54096519947052,0.40282124280929565,0.05035265535116196,1.8572158813476562
0.8314327001571655,0.531775712966919,0.499453604221344,0.4023993909358978,0.05029992386698723,1.7775663137435913
0.839966893196106,0.5451487898826599,0.4749699831008911,0.4033663868904114,0.05058224871754646,1.6895761489868164
0.84952712059021,0.5625131130218506,0.4487531781196594,0.4209044873714447,0.06366806477308273,1.5520555973052979
0.8561327457427979,0.5762231349945068,0.42889919877052307,0.5149248838424683,0.1366240680217743,1.3188387155532837
0.8612005114555359,0.5870645642280579,0.41441816091537476,0.6365538835525513,0.25458216667175293,1.0558637380599976
0.8671708106994629,0.5983306765556335,0.39773622155189514,0.7098864316940308,0.3022650182247162,0.8170925378799438
0.8698011040687561,0.606144905090332,0.390308141708374,0.7516873478889465,0.4254094660282135,0.6686804294586182
0.8712202310562134,0.6100473403930664,0.3835974335670471,0.8345147967338562,0.508314311504364,0.4901603162288666
0.8718822598457336,0.6130945682525635,0.38298749923706055,0.8554967045783997,0.5520616769790649,0.43931445479393005
0.8746581673622131,0.6186867356300354,0.37453484535217285,0.8571678400039673,0.5730264186859131,0.4267067313194275
0.8785370588302612,0.6254174709320068,0.3632294237613678,0.8614389300346375,0.5727477073669434,0.4089854657649994
0.8805044293403625,0.6301953792572021,0.3566073477268219,0.8677255511283875,0.5983176231384277,0.39789098501205444
0.8821653723716736,0.634735107421875,0.35182100534439087,0.8717721104621887,0.5995316505432129,0.37671056389808655
0.8829894065856934,0.6369488835334778,0.3497430086135864,0.863261878490448,0.5725923180580139,0.40498894453048706
0.8850600123405457,0.6425328254699707,0.342663437128067,0.8702357411384583,0.6081968545913696,0.3926585614681244
0.8852869868278503,0.6438137292861938,0.34227076172828674,0.8660597801208496,0.5616664886474609,0.3965555429458618
0.8880362510681152,0.6485000252723694,0.33374372124671936,0.8741700053215027,0.635919451713562,0.3737105429172516
0.8895119428634644,0.6524676084518433,0.32929036021232605,0.87604159116745,0.6332859396934509,0.3682248592376709
0.8881534337997437,0.650509238243103,0.33282557129859924,0.8864277601242065,0.6503118276596069,0.33942127227783203
0.890795111656189,0.6569021344184875,0.3252551853656769,0.8782355189323425,0.6246547698974609,0.3686334192752838
0.8909122347831726,0.6562373638153076,0.32496553659439087,0.8807275891304016,0.634169340133667,0.35676607489585876
0.8926229476928711,0.6610454320907593,0.3176894187927246,0.8918688893318176,0.6373919248580933,0.3291931748390198
0.8924784660339355,0.6595789790153503,0.3174385130405426,0.8925772905349731,0.6464865803718567,0.32228630781173706
0.8923555016517639,0.6610321402549744,0.31879088282585144,0.8739137649536133,0.6341120004653931,0.37468740344047546
0.8951054811477661,0.6661132574081421,0.3104049563407898,0.8915117383003235,0.6565173864364624,0.324683278799057
0.8955327868461609,0.6666327714920044,0.3086346983909607,0.8897846341133118,0.6598193049430847,0.32604295015335083
0.8969635963439941,0.6694896221160889,0.3048325777053833,0.8890393972396851,0.6586188673973083,0.3316207826137543
